Risk_per,Money,Color,Amb,RiskisLeft,response,RT,dist
15,13,green,100,1,['j'],3.311374024999168,wide
20,13,green,100,1,['j'],3.2278286069995374,wide
25,13,green,100,1,['j'],3.5042209180010104,wide
30,13,green,100,0,['j'],3.2585113080003794,wide
35,13,green,100,0,['j'],2.7603547100006836,wide
40,13,green,100,0,['f'],2.379268917000445,wide
45,13,green,100,0,['j'],1.7908839890005765,wide
50,13,green,100,0,['j'],3.5980372129997704,wide
55,13,green,100,0,['j'],2.483676996000213,wide
60,13,green,100,1,['f'],2.1569848180006375,wide
65,13,green,100,0,['j'],1.6042427349984791,wide
70,13,green,100,1,['f'],1.7270972139995138,wide
75,13,green,100,0,['j'],2.1587041650000174,wide
80,13,green,100,1,['f'],1.3202242449988262,wide
85,13,green,100,0,['j'],1.6127357959994697,wide
15,13,green,75,1,No_resp,4,wide
20,13,green,75,1,['j'],1.4301248390002002,wide
25,13,green,75,1,['j'],2.0450039280003693,wide
30,13,green,75,1,['j'],1.4199505010001303,wide
35,13,green,75,0,['f'],3.274948495998615,wide
40,13,green,75,1,['f'],2.7940254129989626,wide
45,13,green,75,1,['j'],2.973756276000131,wide
50,13,green,75,1,['j'],1.4141131489996042,wide
55,13,green,75,1,['f'],0.7575654840002244,wide
60,13,green,75,0,['j'],0.5883073679997324,wide
65,13,green,75,1,['f'],0.7153977779998968,wide
70,13,green,75,0,['j'],0.7072697900002822,wide
75,13,green,75,1,['f'],0.8358618550009851,wide
80,13,green,75,0,['j'],1.5597064560006402,wide
85,13,green,75,1,['f'],1.4554071759994258,wide
15,13,green,50,0,['f'],2.9906776509997144,wide
20,13,green,50,1,['j'],1.8799367679985153,wide
25,13,green,50,0,['f'],1.0247329139983776,wide
30,13,green,50,1,['j'],1.5771915080003964,wide
35,13,green,50,1,['j'],1.2025698179986648,wide
40,13,green,50,0,['f'],2.397257148999415,wide
45,13,green,50,1,['f'],1.6741199610005424,wide
50,13,green,50,0,['f'],2.3184300840002834,wide
55,13,green,50,1,['f'],0.9299066070016124,wide
60,13,green,50,1,['f'],0.7557564220005588,wide
65,13,green,50,0,['j'],0.8222818810008903,wide
70,13,green,50,0,['j'],1.0991032740002993,wide
75,13,green,50,0,['j'],1.195559425999818,wide
80,13,green,50,1,['f'],1.1169546940000146,wide
85,13,green,50,1,['f'],1.2012632329988264,wide
15,13,blue,100,1,['j'],3.793886602999919,narrow
20,13,blue,100,0,['f'],2.196386411000276,narrow
25,13,blue,100,1,['f'],2.462379899001462,narrow
30,13,blue,100,0,['j'],3.8051008000002184,narrow
35,13,blue,100,1,['f'],1.0390739840004244,narrow
40,13,blue,100,1,['f'],1.3217839789995196,narrow
45,13,blue,100,0,['j'],0.9686941250001837,narrow
50,13,blue,100,0,['j'],0.8804116259998409,narrow
55,13,blue,100,1,['f'],1.1332503509984235,narrow
60,13,blue,100,0,['j'],0.8398608770003193,narrow
65,13,blue,100,0,['j'],1.0251489279999078,narrow
70,13,blue,100,1,['f'],0.7596400160000485,narrow
75,13,blue,100,0,['j'],1.4672916359995725,narrow
80,13,blue,100,1,['f'],2.024116493001202,narrow
85,13,blue,100,1,['f'],1.0648516030014434,narrow
15,13,blue,75,0,['f'],4.295088893999491,narrow
20,13,blue,75,0,['f'],1.893001117001404,narrow
25,13,blue,75,1,['j'],1.4011036950014386,narrow
30,13,blue,75,1,['j'],1.098154142000567,narrow
35,13,blue,75,0,['f'],2.0788200459992368,narrow
40,13,blue,75,0,['f'],0.9807566710005631,narrow
45,13,blue,75,0,['f'],1.3713909269990836,narrow
50,13,blue,75,1,['f'],1.0568849839983159,narrow
55,13,blue,75,1,['f'],0.7557376099994144,narrow
60,13,blue,75,1,['f'],0.4762685989990132,narrow
65,13,blue,75,1,['f'],0.5266522069996427,narrow
70,13,blue,75,1,['f'],0.6920623419991898,narrow
75,13,blue,75,1,['f'],0.9899129920013365,narrow
80,13,blue,75,0,['j'],1.2233030940005847,narrow
85,13,blue,75,0,['j'],1.1108983939993777,narrow
15,13,blue,50,0,['f'],1.7101155220007058,narrow
20,13,blue,50,1,['j'],0.9017194349999045,narrow
25,13,blue,50,1,['j'],0.8227945809994708,narrow
30,13,blue,50,1,['j'],0.9576997550011583,narrow
35,13,blue,50,0,['j'],1.3735999340005947,narrow
40,13,blue,50,1,['j'],0.8010714520005422,narrow
45,13,blue,50,0,['f'],0.7579483029985568,narrow
50,13,blue,50,1,['j'],1.379505283999606,narrow
55,13,blue,50,1,['f'],0.9408686970000417,narrow
60,13,blue,50,0,['j'],0.9231213530001696,narrow
65,13,blue,50,0,['j'],0.8125478499987366,narrow
70,13,blue,50,0,['j'],0.6162781809998705,narrow
75,13,blue,50,0,['j'],0.6546962680004071,narrow
80,13,blue,50,0,['j'],0.7042954780008586,narrow
85,13,blue,50,1,['f'],0.6929820929999551,narrow
15,13,red,100,0,['j'],2.2174374900005205,skew
20,13,red,100,0,['j'],0.6470737140007259,skew
25,13,red,100,1,['f'],0.3747578570000769,skew
30,13,red,100,1,['f'],0.8808492710013525,skew
35,13,red,100,0,['j'],0.49358495700107596,skew
40,13,red,100,0,['j'],0.8074357599998621,skew
45,13,red,100,1,['f'],0.6569892010011245,skew
50,13,red,100,1,['f'],0.571745937999367,skew
55,13,red,100,1,['f'],0.6205911609995383,skew
60,13,red,100,0,['j'],0.5798696559995733,skew
65,13,red,100,0,['j'],0.5464971719993628,skew
70,13,red,100,1,['f'],0.9746327180000662,skew
75,13,red,100,0,['j'],0.555810087998907,skew
80,13,red,100,1,['f'],0.5295759629989334,skew
85,13,red,100,0,['j'],0.9814648370011128,skew
15,13,red,75,0,['f'],2.356797704998826,skew
20,13,red,75,1,['j'],3.0450266529987857,skew
25,13,red,75,0,['f'],2.6716337439993367,skew
30,13,red,75,1,['f'],1.8916492839998682,skew
35,13,red,75,1,['j'],2.052856194999549,skew
40,13,red,75,1,['j'],1.6720860990008077,skew
45,13,red,75,0,['f'],1.6316935569993802,skew
50,13,red,75,1,['j'],1.668455377999635,skew
55,13,red,75,0,['j'],0.46183149999887974,skew
